CII     1334.5323000 0.127800  2.870E8   
CIV     1548.2036000 0.190800  2.654E8      12.0107  215.0   
CIV     1550.7807000 0.095220  2.641E8      12.0107  124.0  
OI      1302.1685000 0.048870  5.750E8      M91
SiII    1304.3702000 0.094000  1.720E9      M91 
SiII    1260.4220000 1.007000  2.533E9      M91
SiIII   1206.5000000 1.660000  2.590E9
MgII  	2796.3543    0.6123    2.612E8   
MgII  	2803.5315    0.3083    2.592e8   
AlII    1670.7886100 1.740000  1.46E+009    26.98    270    
AlIII   1854.7247040 0.325897  2.00E+008    27    464    
AlIII   1862.7985810 0.162074  2.00E+008    27    216    
SiII    1526.7069637 0.122626  1.96E+009    28    50    
SiII    1808.0130660 0.001918  6.75E+006    28    520    
SiIV    1393.7604012 0.472986  9.20E+008    28    862    
SiIV    1402.7731402 0.234188  9.03E+008    28    346    
FeII    1608.4506440 0.052969  2.00E+008    56    -1300    
FeII    2344.2128814 0.104652  2.00E+008    56    1210    
FeII    2374.4602364 0.028733  2.00E+008    56    1590    
FeII    2382.7641975 0.293760  2.00E+008    56    1460    
FeII    2586.6494730 0.063434  2.00E+008    56    1490    
FeII    2600.1723011 0.219402  2.00E+008    56    1330    
